s1,s2,x,y
92,482,0.125,0
177,1023,0,18
497,386,9,9
950,0,18,0.1875
674,660,18,18
600,660,14.6875,17.8125
550,660,12.375,17.5
500,660,10.3125,16.875
450,660,8.25,16
400,660,6.125,14.9375
350,660,4.3125,13.6875
300,660,2.5,12.25
250,660,1,10.5625
200,660,-0.875,8.6875
674,600,16.8125,16.6875
600,600,14,16.4375
550,600,11.6875,15.9375
500,600,9.6875,15.3125
450,600,7.75,14.4375
400,600,5.875,13.3125
350,600,4.1875,12
300,600,2.5625,10.5
250,600,1.25,8.875
200,600,0,7
700,550,16.9375,15.5
650,550,14.9375,15.5
600,550,13.0625,15.125
550,550,11.1875,14.6875
500,550,9.3125,13.9375
450,550,7.4375,13
400,550,5.75,11.875
350,550,4.25,10.5625
300,550,2.875,9.1875
250,550,1.625,7.5
200,550,0.5,5.75
700,500,16.125,14.3125
600,500,12.5,13.8125
500,500,9,12.4375
400,500,5.875,10.3125
300,500,3.25,7.625
200,500,1.25,4.375
100,500,-0.0625,0.8125
800,400,18.0625,11.8125
700,400,14.9375,11.625
600,400,11.875,10.875
500,400,9,9.375
400,400,6.4375,7.3125
300,400,4.5,4.8125
200,400,3,1.9375
150,400,2.375,0.3125
800,300,16.8125,9
700,300,14.375,8.625
600,300,11.8125,7.875
500,300,9.625,6.625
400,300,7.6875,4.625
300,300,6.25,2.5
200,300,5.125,-0.0625
800,200,16.25,6.125
700,200,14.3125,5.75
600,200,12.375,5
500,200,10.875,3.875
400,200,9.5,2.375
300,200,8.375,0.75
900,100,17.625,3.3125
800,100,16.25,3.1875
700,100,14.8125,3
600,100,13.625,2.375
500,100,12.625,1.5625
400,100,11.625,0.5
950,50,18,1.75
850,50,17,1.8125
750,50,15.9375,1.6875
650,50,14.9375,1.3125
550,50,14,0.875
450,50,13.25,0.125
900,0,17.5,0.4375
250,900,2.1875,17.5
200,900,-0.0625,15.6875
300,900,4.1875,18.6875
400,780,7,18
350,780,5.3125,17.25
300,780,3.125,15.75
250,780,1.0625,14
200,780,-0.9375,12
